Neigh #,Neighborhood Name,Assessors Neigh,Vacant Land Sq. Ft. Price,Vacant Vandalized Residential Buildings per Unit,Residential New Construction,Side Lots
45,Franz Park,203,$2.60 ,"$1,500.00 ",$162.50 ,$60.95 
31,"Gate District, The",253,$2.40 ,"$1,500.00 ",$150.00 ,$56.25 
19,Gravois Park,140,$2.20 ,"$1,500.00 ",$137.50 ,$51.60 
20,Gravois Park,141,$2.20 ,"$1,500.00 ",$137.50 ,$51.60 
21,Gravois Park,144,$2.30 ,"$1,500.00 ",$143.75 ,$53.95 
56,"Greater Ville, The",307,$1.05 ,"$1,000.00 ",$65.65 ,$24.65 
57,"Greater Ville, The",308,$0.75 ,"$1,000.00 ",$46.90 ,$17.60 
58,"Greater Ville, The",309,$0.65 ,"$1,000.00 ",$40.65 ,$15.25 
59,"Greater Ville, The",310,$0.80 ,"$1,000.00 ",$50.00 ,$18.75 
60,"Greater Ville, The",320,$0.75 ,"$1,000.00 ",$46.90 ,$17.60 
78,Hamilton Heights,239,$0.95 ,"$1,000.00 ",$59.40 ,$22.30 
12,"Hill, The",215,$3.00 ,"$1,500.00 ",$187.50 ,$70.35 
44,Hi-Point,201,$2.40 ,"$1,500.00 ",$150.00 ,$56.25 
45,Hi-Point,202,$2.50 ,"$1,500.00 ",$156.25 ,$58.60 
46,Hi-Point,203,$2.60 ,"$1,500.00 ",$162.50 ,$60.95 
3,Holly Hills,112,$3.90 ,"$1,500.00 ",$243.75 ,$91.45 
4,Holly Hills,114,$2.30 ,"$1,500.00 ",$143.75 ,$53.95 
65,Hyde Park,313,$0.50 ,"$1,000.00 ",$31.25 ,$11.75 
66,Hyde Park,314,$0.60 ,"$1,000.00 ",$37.50 ,$14.10 
67,Hyde Park,341,$0.70 ,"$1,000.00 ",$43.75 ,$16.45 
59,Jeff VanderLou,232,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
60,Jeff VanderLou,255,$0.80 ,"$1,000.00 ",$50.00 ,$18.75 
61,Jeff VanderLou,256,$0.80 ,"$1,000.00 ",$50.00 ,$18.75 
62,Jeff VanderLou,309,$0.80 ,"$1,000.00 ",$50.00 ,$18.75 
63,Jeff VanderLou,310,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
64,Jeff VanderLou,315,$0.90 ,"$1,000.00 ",$56.25 ,$21.10 
65,Jeff VanderLou,316,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
66,Jeff VanderLou,317,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
40,Kings Oak,207,$2.20 ,"$1,500.00 ",$137.50 ,$51.60 
55,Kingsway East,301,$1.50 ,"$1,000.00 ",$93.75 ,$35.20 
56,Kingsway East,307,$1.30 ,"$1,000.00 ",$81.25 ,$30.50 
57,Kingsway East,308,$0.90 ,"$1,000.00 ",$56.25 ,$21.10 
52,Kingsway West,342,$1.20 ,"$1,000.00 ",$75.00 ,$28.15 
53,Kingsway West,343,$1.10 ,"$1,000.00 ",$68.75 ,$25.80 
20,Kosciusko,APPRAISAL,,,,
32,Lafayette Square,251,$5.50 ,"$2,500.00 ",$343.75 ,$128.95 
34,LaSalle,249,$5.00 ,"$2,500.00 ",$312.50 ,$117.20 
35,LaSalle,266,$0.50 ,"$1,000.00 ",$31.25 ,$11.75 
54,Lewis Place,234,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
